time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.694539489952173e-06,-2.2295027904011677e-08,10.005222805045545,6.2831576954125445,0.0010148845656567929,0.0,-0.00012772717759071465,-2.284616102378438e-06,0.1740822133955412,-0.0013969344848838137,0.038433970209044474,0.0,457.82788288634157,460.8751419041183,460.3114111614273,460.2008822763137
0.12000000000000001,-3.625914231113954e-05,-9.737968975137369e-07,10.016668283923728,6.282698587003626,0.003316257206102513,0.0,-0.0012366798466154484,-5.028173592767004e-05,0.2074275701423418,-0.02467862362346665,0.0382002761268332,0.0,415.407791446612,415.38813208614613,416.1289097253995,414.0863071117426
0.18,-0.00018633602913802356,-1.9147102291227028e-05,10.031746815657831,6.280710500813035,0.005247408268965081,0.0,-0.003981468587205276,-0.0007181864298937371,0.2951698820498498,-0.06108878819589811,0.016083423473304152,0.0,434.7358776249267,432.87943670293635,433.82798943961023,430.75967602835266
0.23999999999999996,-0.0005359399240082671,-0.000126173776317846,10.052185500917483,6.277372166769998,0.006319986560491486,0.0,-0.007774633106784303,-0.0032000116444487765,0.3860908145424281,-0.046513454632756863,0.021240228891858774,0.0,434.4977608394299,434.92974448948564,432.91742272582434,434.13963819935935
0.3,-0.001134286350857032,-0.00044542160815873533,10.077801583922076,6.27463171432295,0.007633379504341953,0.0,-0.012298564617247888,-0.007715941342722658,0.467745438755136,-0.04404693275492967,0.023158394333096046,0.0,431.87273384352403,432.03449680774764,430.384905372907,430.5922860572104
0.36000000000000004,-0.0020510408389117323,-0.0011128228434926367,10.110824146822566,6.272068100150715,0.009336297575315733,0.0,-0.018433808221083474,-0.014820595712333184,0.6329249866633013,-0.04021024565557349,0.03718753405563927,0.0,456.3292406572641,457.44777349737376,457.7288503658192,458.03308249155884
0.4200000000000001,-0.003400331124479797,-0.002289770002333547,10.156011741448156,6.269494801698784,0.011001391198835364,0.0,-0.02680166628067815,-0.024714484671221046,0.8731691630232181,-0.04886731815532216,-0.00855034736311144,0.0,481.57894030526904,478.1074357258699,480.10787423782466,479.44980386585837
0.48000000000000015,-0.005296070674986561,-0.00414815554661387,10.217117241452058,6.2664065653413665,0.010425847505527663,0.0,-0.036316243488671594,-0.03761922852920204,1.163426170007922,-0.05726248714874133,-0.011762503070870031,0.0,494.22261103989155,493.98596542377516,495.0586822547999,494.43922695425744
0.5400000000000001,-0.007729466008200795,-0.006835282392525853,10.293959117022398,6.2630887994847875,0.009826553920728287,0.0,-0.04471508747760178,-0.0523584532739088,1.397706067564013,-0.05162925231719489,-0.006656874436525779,0.0,479.5512353250787,479.9389893099974,478.0444150499986,478.4715918323565
0.6000000000000002,-0.010632841627526582,-0.010443413064693945,10.382729641500203,6.259836172564267,0.00968702078723993,0.0,-0.05203341116445725,-0.06826131430537032,1.5610947417122005,-0.05994725105941923,0.0051716786431691055,0.0,458.568808661224,459.5074140639994,458.3858403924887,457.7225323361686
0.6600000000000003,-0.013947521029984122,-0.015013581452537342,10.47849085111719,6.256275793997988,0.009568583780541928,0.0,-0.058470741742757376,-0.08442434358243234,1.6308389005431008,-0.05815181509604742,-0.022773947052223853,0.0,431.1537309548389,428.7864194726084,429.35137912119905,429.50105819624974
0.7200000000000003,-0.017621762625882744,-0.02056906749486353,10.57648141668433,6.253348630969754,0.008269990650020986,0.0,-0.06388696761808343,-0.10103645493964727,1.6354990379560879,-0.03465932462433036,-0.019472808731475277,0.0,407.64303447606943,407.93783909626165,407.82276206823724,409.9137086098304
0.7800000000000004,-0.021613525623044125,-0.027224597358031014,10.676622653027145,6.252253091404562,0.006768839443331842,0.0,-0.06904470961556577,-0.12095473380115865,1.7024403052387782,0.0028280973495832685,-0.03942868500781902,0.0,429.717072339839,428.02201483569945,427.64764269451945,430.8285697475954
0.8400000000000004,-0.025855733337423022,-0.034967391325382055,10.77681296029669,6.252505291009967,0.004148936750173249,0.0,-0.07217090064753692,-0.1371254745389182,1.6373338267957838,0.006821046372870161,-0.053873557427388065,0.0,384.3893027941212,383.01659279058396,384.2924585802524,384.6706642014145
0.9000000000000005,-0.03026732054897769,-0.04389422127461593,10.880224997546808,6.252837823377556,0.000971638120991436,0.0,-0.07452012566356803,-0.1603864357660319,1.8094790364669375,0.0028532061680462597,-0.05117899975948277,0.0,462.4470286371552,462.65749385958105,461.44447948688696,461.13107884946464
0.9600000000000005,-0.03474865485886535,-0.05421381158932556,10.994082286115471,6.252689722892365,6.281565689311826,0.0,-0.07454098175779077,-0.18358720796908054,1.9854741104981144,-0.01610835131459077,-0.03070283921540001,0.0,462.925868066215,464.53313051540937,464.2578903926417,462.76788144813133
1.0200000000000005,-0.039173916903337026,-0.06597084569481772,11.11970908858691,6.251780852404032,6.279636295294111,0.0,-0.07274397744632076,-0.2084143693590449,2.2016895844576587,-0.013292947046304897,-0.0352345884819995,0.0,475.95138547694665,475.6041331286025,476.41385270962877,476.62917613437094
1.0800000000000005,-0.04345146580279953,-0.07917600997740759,11.256313023083228,6.25063137569947,6.27752842591727,0.0,-0.06961130050487013,-0.23185156313859706,2.3514729921767885,-0.034708607386351294,-0.03492513515258154,0.0,458.3769819315868,458.4010814893008,456.76394616484345,455.05291965217236
1.1400000000000006,-0.04749635642495904,-0.09380759716685198,11.401585351843815,6.248770967788451,6.275470033608702,0.0,-0.0649962892205344,-0.2560707118498382,2.490634416914594,-0.024476849828525337,-0.03309744043050244,0.0,454.9929643730818,455.13880247606545,453.6186002325645,454.43913938669493
